timestamp_llegada,tiempo_servicio,timestamp_salida
1762381475.8627346,1.4323744773864746,1762381477.295109
1762381480.3684316,1.1869628429412842,1762381481.5553944
1762381482.2091062,1.1053509712219238,1762381483.3144572
1762382009.1159763,1.0585331916809082,1762382010.1745095
1762382011.346503,1.1738791465759277,1762382012.5203822
1762382014.9060197,1.4542796611785889,1762382016.3602993
1762382022.9691203,1.4849822521209717,1762382024.4541025
1762382028.150915,1.0758302211761475,1762382029.2267451
1762382030.0374098,1.019313097000122,1762382031.0567229
1762382034.1454573,1.073237657546997,1762382035.218695
1762382036.9522283,1.47684907913208,1762382038.4290774
1762382039.0317116,1.0160608291625977,1762382040.0477724
1762382040.1255617,1.06327486038208,1762382041.1888366
1762382044.6780133,1.3401305675506592,1762382046.018144
1762382048.652555,1.3269739151000977,1762382049.979529
1762382050.4915965,1.2462177276611328,1762382051.7378142
1762382054.7614574,1.3816132545471191,1762382056.1430707
1762382057.3744795,1.187678575515747,1762382058.562158
1762382062.359998,1.1806714534759521,1762382063.5406694
1762382065.443952,1.2223267555236816,1762382066.6662788
1762382067.551323,1.2764780521392822,1762382068.827801
1762382073.6374052,1.3189773559570312,1762382074.9563825
1762382078.0236301,1.0121324062347412,1762382079.0357625
1762382080.547739,1.2747905254364014,1762382081.8225296
1762382084.607316,1.3049769401550293,1762382085.912293
1762382091.592152,1.2972161769866943,1762382092.8893683
1762382093.2403278,1.121253490447998,1762382094.3615813
1762382094.623646,1.3124384880065918,1762382095.9360845
1762382096.3526113,1.1773717403411865,1762382097.529983
1762382102.3312762,1.166921854019165,1762382103.498198
1762382104.1175578,1.0597944259643555,1762382105.1773522
1762382107.480427,1.2415719032287598,1762382108.721999
1762382109.1723247,1.0870985984802246,1762382110.2594233
1762382111.1412325,1.0715482234954834,1762382112.2127807
1762382112.6822941,1.342118740081787,1762382114.0244129
1762382114.331179,1.166621208190918,1762382115.4978
1762382116.4635382,1.2318403720855713,1762382117.6953785
1762382118.193568,1.0976190567016602,1762382119.291187
1762382119.6655583,1.3337044715881348,1762382120.9992628
1762382122.667347,1.3345162868499756,1762382124.0018632
1762382124.4189732,1.2103450298309326,1762382125.6293182
1762382125.9558187,1.4788663387298584,1762382127.434685
1762382130.40229,1.2011892795562744,1762382131.6034794
1762382136.1322794,1.0670661926269531,1762382137.1993456
1762382140.2821517,1.1416993141174316,1762382141.423851
1762382142.6037884,1.3032751083374023,1762382143.9070635
1762382146.0680778,1.035059928894043,1762382147.1031377
1762382147.6705546,1.3366591930389404,1762382149.0072138
1762382149.8358908,1.419459342956543,1762382151.25535
1762382154.0788047,1.040409803390503,1762382155.1192145
1762382156.8910787,1.446307897567749,1762382158.3373866
1762382167.2418118,1.1216685771942139,1762382168.3634803
1762382169.4273376,1.2146196365356445,1762382170.6419573
